,time,open,high,low,close,Volume,SMA_5,SMA_15,VMA_5,VMA_15,EMA_5,EMA_15,Diff,up,down,avg_20up,avg_20down,avg_60up,avg_60down,RS_20,RS_60,RSI_20,RSI_60,RSI_ratio,EMA_26,EMA_12,MACD_line,MACD_signal,MACD,STD_5,Upper Bollinger Band,Lower Bollinger Band,high_low,high_prevClose,low_prevClose,TrueRange,ATR_12,ATR_3,stop_loss
192,2022-12-13 09:00:00,18529.9,18540.85,18490.2,18508.2,43597672,18478.440000000002,18500.153333333332,28644134.6,30214128.666666668,18487.38019419745,18503.48364773052,13.5,13.5,0.0,9.325,12.7,,,0.734251968503937,,42.33825198637911,,,18526.827380837763,18496.381774352805,30.44560648495826,31.037731191843243,-0.5921247068849809,26.02382081864965,18530.4876416373,18426.392358362704,50.64999999999782,46.14999999999782,4.5,50.64999999999782,63.61666666666648,52.13333333333139,18614.166666666664
193,2022-12-13 10:00:00,18508.9,18546.4,18506.4,18543.35,24510105,18489.93,18494.623333333333,29390732.8,28953230.0,18506.036796131633,18508.466941764207,35.14999999999782,35.14999999999782,0.0,11.059999999999855,12.7,,,0.8708661417322721,,46.54882154882122,,,18528.051278553485,18503.607655221604,24.4436233318811,29.718909619850816,-5.275286287969717,39.39071273791445,18568.71142547583,18411.14857452417,40.0,38.20000000000073,1.7999999999992724,40.0,57.46666666666655,51.76666666666521,18613.78333333333
194,2022-12-13 11:00:00,18543.25,18592.7,18540.15,18583.9,22873529,18515.16,18496.45333333333,30629071.2,28402112.333333332,18531.99119742109,18517.89607404368,40.55000000000291,40.55000000000291,0.0,13.0875,12.454999999999927,,,1.0507828181453294,,51.238132524224476,,,18532.188220882854,18515.960323649047,16.22789723380629,27.020707142641914,-10.792809908835626,52.006146271382995,18619.172292542768,18411.147707457232,52.54999999999927,49.35000000000218,3.1999999999970896,52.54999999999927,58.45833333333303,47.73333333333236,18613.049999999996
195,2022-12-13 12:00:00,18584.35,18595.2,18570.75,18588.6,19719928,18543.75,18498.84,29394535.8,28200375.2,18550.86079828073,18526.734064788223,4.69999999999709,4.69999999999709,0.0,12.65749999999989,12.454999999999927,,,1.0162585307105552,,50.403185664509635,,,18536.366871187827,18527.13565847227,9.231212715556467,23.46280825722483,-14.231595541668362,42.70073184384521,18629.15146368769,18458.34853631231,24.450000000000728,11.299999999999272,13.150000000001455,24.450000000000728,54.704166666666424,39.0,18612.725
196,2022-12-13 13:00:00,18589.25,18608.9,18578.5,18593.5,19368545,18563.51,18505.98,26013955.8,27648103.066666666,18565.073865520488,18535.079806689697,4.900000000001455,4.900000000001455,0.0,12.675,12.454999999999927,,,1.0176635889201184,,50.43772383605268,,,18540.598954803543,18537.345557168846,3.2533976346967393,19.420926132719213,-16.167528498022474,36.777309580768325,18637.064619161534,18489.955380838463,30.400000000001455,20.30000000000291,10.099999999998545,30.400000000001455,53.204166666666424,35.80000000000049,18612.35
197,2022-12-13 14:00:00,18594.05,18596.9,18563.1,18582.55,22073018,18578.379999999997,18513.433333333334,21709025.0,27783850.333333332,18570.899243680324,18541.013580853483,-10.950000000000728,0.0,10.950000000000728,11.409999999999854,13.002499999999964,,,0.8775235531628446,,46.73835125448004,,,18543.70643963291,18544.300086835177,-0.5936472022658563,15.4180114657222,-16.01165866798806,20.05008104720417,18618.480162094405,18538.27983790559,33.80000000000291,3.400000000001455,30.400000000001455,33.80000000000291,43.72500000000006,29.5500000000017,18611.991666666665
198,2022-12-13 15:00:00,18583.05,18617.25,18582.3,18594.35,35232025,18588.579999999998,18522.136666666665,23853409.0,27861600.533333335,18578.71616245355,18547.680633246797,11.799999999999272,11.799999999999272,0.0,11.404999999999927,13.002499999999964,,,0.8771390117285105,,46.727440335962214,,,18547.457814474918,18552.00007347592,-4.542259001002094,11.425957372377342,-15.968216373379436,5.379660769899599,18599.339321539795,18577.8206784602,34.95000000000073,34.70000000000073,0.25,34.95000000000073,41.825000000000124,33.050000000001695,18612.116666666665
216,2022-12-14 09:00:00,18671.9,18696.1,18651.65,18669.3,42360182,18605.659999999996,18533.873333333337,27750739.6,28237923.533333335,18608.910774969034,18562.883054090948,74.95000000000073,74.95000000000073,0.0,15.152499999999964,9.510000000000037,,,1.5933228180862151,,61.43943233654319,,,18556.483161550852,18570.046216018087,-13.563054467234906,6.428155004454892,-19.9912094716898,35.885049115179335,18677.430098230354,18533.88990176964,44.44999999999709,101.75,57.30000000000291,101.75,46.85000000000006,56.833333333334544,18615.191666666666
217,2022-12-14 10:00:00,18668.8,18677.6,18654.95,18667.55,24711403,18621.45,18547.3,28749034.6,26816602.866666667,18628.45718331269,18575.966422329577,-1.75,0.0,1.75,15.152499999999964,9.414999999999964,,,1.6093998937865133,,61.6770123130152,,,18564.71033476931,18585.04679816915,-20.336463399842614,1.07523132359539,-21.411694723438004,43.13830954034344,18707.726619080688,18535.173380919314,22.649999999997817,8.299999999999272,14.349999999998545,22.649999999997817,45.837499999999636,53.116666666666184,18614.63333333333
218,2022-12-14 11:00:00,18668.5,18690.2,18665.2,18683.65,24161831,18639.48,18559.2,29707691.8,26635755.2,18646.854788875127,18589.42686953838,16.100000000002183,16.100000000002183,0.0,15.957500000000072,6.095000000000073,,,2.6181296144380446,,72.36141027094419,,,18573.520680341953,18600.216521527742,-26.695841185788595,-4.478983178281407,-22.216858007507188,47.18550624925106,18733.8510124985,18545.1089875015,25.0,22.650000000001455,2.349999999998545,25.0,43.49583333333309,49.79999999999927,18615.483333333334
