Open,High,Low,Adj Close,RSI,EMAF,EMAM,EMAS,Target,TargetClass,TargetNextClose,predicted,PredictionResult,AcctualResult,diff,ATR
17095.400390625,17245.5,17059.69921875,17234.150390625,80.59465429303395,16629.429122729296,15719.633874557921,15261.4859124361,61.150390625,1,17323.599609375,17114.385,0,1,89.44921875,164.1237251150209
17262.44921875,17340.099609375,17212.19921875,17323.599609375,81.9027768725953,16695.540597647934,15751.395572277072,15288.798676633965,-21.548828125,0,17377.80078125,17238.559,0,1,54.201171875,161.1962881172185
17399.349609375,17429.55078125,17345.55078125,17377.80078125,82.66158470850986,16760.517757990987,15783.60161601911,15316.46757868186,-39.451171875,0,17362.099609375,17379.105,1,0,15.701171875,156.81188665442528
17401.55078125,17436.5,17287.0,17362.099609375,81.59965733547045,16817.811267646608,15814.859002026158,15343.562042664551,-22.25,0,17353.5,17447.799,1,0,8.599609375,156.24121860665656
17375.75,17383.400390625,17254.19921875,17353.5,80.98909848133937,16868.829242156455,15845.327140599897,15370.183737463696,56.400390625,1,17369.25,17475.842,1,1,15.75,154.16314140199108
17312.849609375,17379.650390625,17302.69921875,17369.25,81.26418970555619,16916.488361951077,15875.503830885047,15396.661436305238,-8.25,0,17355.30078125,17475.914,1,0,13.94921875,148.3132170229151
17363.55078125,17378.349609375,17269.150390625,17355.30078125,80.16345414721597,16958.280020931925,15904.806740793265,15422.603679284639,-40.349609375,0,17380.0,17484.89,1,1,24.69921875,145.38855950446188
17420.349609375,17438.55078125,17367.05078125,17380.0,80.66042092748373,16998.443828462216,15934.01848850033,15448.529458366962,131.798828125,1,17519.44921875,17464.38,1,1,139.44921875,140.7986250847325
17387.650390625,17532.69921875,17386.900390625,17519.44921875,83.20561806846983,17048.063389442003,15965.413156426066,15475.958859166738,90.30078125,1,17629.5,17498.148,0,1,110.05078125,141.66779667834982
17539.19921875,17644.599609375,17510.44921875,17629.5,84.88734488211013,17103.43830473324,15998.365371150303,15504.482582886385,-124.5,0,17585.150390625,17602.244,0,0,44.349609375,141.12447989237614
17709.650390625,17792.94921875,17537.650390625,17585.150390625,81.36921831496822,17149.31564624674,16029.786856684455,15532.04109689617,-46.94921875,0,17396.900390625,17703.344,1,0,188.25,149.29649675749607
17443.849609375,17622.75,17361.80078125,17396.900390625,68.46465424700345,17172.895145711336,16056.85841181199,15556.741219991916,111.5,1,17562.0,17685.12,1,1,165.099609375,157.21615840248148
17450.5,17578.349609375,17326.099609375,17562.0,72.5546778256272,17209.952750881686,16086.663195736506,15583.300938932422,-34.25,0,17546.650390625,17429.975,0,0,15.349609375,163.9006644917054
17580.900390625,17610.44921875,17524.0,17546.650390625,71.62926983684595,17242.019192762004,16115.57383325905,15609.305567431662,152.099609375,1,17822.94921875,17565.309,1,1,276.298828125,158.49524048267597
17670.849609375,17843.900390625,17646.55078125,17822.94921875,77.23032237841889,17297.345861903716,16149.383246833127,15638.625350892833,-44.25,0,17853.19921875,17656.54,0,1,30.25,168.1089969451469
17897.44921875,17947.650390625,17819.400390625,17853.19921875,77.74569660661805,17350.284276841456,16183.122176970095,15667.957455102864,-77.099609375,0,17855.099609375,17830.887,0,1,1.900390625,165.36594240383968
17932.19921875,17943.5,17802.900390625,17855.099609375,77.7795497806185,17398.361927558937,16216.230640978112,15696.926225358126,-157.849609375,0,17748.599609375,17963.0,1,0,106.5,163.67225158765942
17906.44921875,17912.849609375,17576.099609375,17748.599609375,71.26984690075628,17431.717897255705,16246.574580946366,15724.100707265634,53.3515625,1,17711.30078125,17996.072,1,0,37.298828125,175.4392187696555
17657.94921875,17781.75,17608.150390625,17711.30078125,69.09974082490496,17458.344838588495,16275.5790601603,15750.421238046883,-100.75,0,17618.150390625,17869.322,1,0,93.150390625,175.3148324442379
